"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Signup Functionality","Check if the user is able to sign up with empty kids count field","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to click the confirmation box","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up with empty adult count field","1","0","0","0","0"
"","Signup Functionality","Check if the user is able to sign up with thanksgiving field empty","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to click the cancel button in confirmation box","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up again","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up with repose of souls field empty","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up with empty family count field","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up for mass","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up with empty attend field","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to click on View Guests","1","0","0","0","0"
"","Signup Functionality","Check if the user is able to view the details in the view guests page","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to click on success pop up window","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up with incorrect passcode","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up with special characters in the thanksgiving field","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to click sign up","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up with special characters in the family intentions field","0","0","0","1","0"
"","Signup Functionality","Check if the user is able to sign up with family intention field empty","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to click on Back to signup page","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to click on the email if there is no passcode","0","0","1","0","0"
"","Signup Functionality","Check if the user is able to sign up with special characters in the repose of souls field","0","1","0","0","0"
"","Signup Functionality","Check if the user is able to sign up with empty name field","0","0","1","0","0"
